name,state,facility_type,lga,code
Azare Federal Medical Centre,Bauchi,Tertiary,Katagum,bCq8A5XWjyg
Bayara Infectious Diseases Hospital,Bauchi,Tertiary,Bauchi,ExiHYOsNk3q
jg Gumel General Hospital,Jigawa,Secondary,Gumel,A4VsXrMgMv4
Urban Maternity,Bauchi,Tertiary,Bauchi,bT2ZyZLk44k
Ringim General Hospital,Jigawa,Secondary,Ringim,VEB3JmuvRvA
Itas General Hospital,Bauchi,Primary,Itas/Gadau,nkN1spDorve
Kafin Hausa General Hospital,Jigawa,Primary,Kafin Hausa,QTDuxWidbcH
Babura General Hospital,Jigawa,Primary,Babura,yMiSGVSdFjv
Aminu Kano Teaching Hospital - Kano,Kano,Tertiary,Tarauni,E5jz9JxYBuv
General Hospital Tudun Wada,Kano,Secondary,Tudun Wada,jr0U0XTwpCo
General Hospital Bichi,Kano,Primary,Bichi,iHPt9BTPDy6
Birnin-Kudu Federal Medical Centre,Jigawa,Primary,Birnin Kudu,EgGUTcI2hMW
kn Sir Muhammad Sanusi Specialist Hospital,Kano,Tertiary,Nasarawa,WVFumwCOfkQ
Azare General Hospital,Bauchi,Primary,Katagum,e2ghLPzhRsA
ba Ningi General Hospital,Bauchi,Secondary,Ningi,yz97bhSxBx3
Toro General Hospital,Bauchi,Tertiary,Toro,m2jjxq7eDXo
Birniwa General Hospital,Jigawa,Primary,Biriniwa,eaUGM1Cez6i
Kofar Arewa Primary Health Centre,Jigawa,Primary,Hadejia,j8eePYmxQMa
Gwaram Primary Health Centre,Jigawa,Primary,Gwaram,tt3h2ApZs2w
Kafin Madaki General Hospital,Bauchi,Primary,Ganjuwa,OcFekRBRw8K
Jama are General Hospital,Bauchi,Primary,Jama'are,ZbULgMXKgbM
Kazaure General Hospital,Jigawa,Tertiary,Kazaure,NeH5Pssl5JX
kn Wudil General Hospital,Kano,Tertiary,Wudil,iaFSfOCz1iJ
Takai Comprehensive Health Centre,Kano,Secondary,Takai,PSbDeKmKCVe
Hasiya Bayero Paediatric Hospital,Kano,Tertiary,Kano Municipal,RHLPUEDKJTO
Dawakin Tofa General Hospital,Kano,Primary,Dawakin Tofa,kUtyn0U4Zl4
jBirnin Kudu General Hospital,Jigawa,Primary,Birnin Kudu,kkXXkrDgjHX
Jahun General Hospital,Jigawa,Tertiary,Jahun,FxDuhc7a7mg
Evangelical Church of West Africa (ECWA) Clinic and Maternity,Kano,Secondary,Nasarawa,zcSL0a1oPEw
Murtala Mohammed Specialist Hospital,Kano,Tertiary,Kano Municipal,MI3hLVjIws5
Kano Infectious Diseases Hospital,Kano,Tertiary,Fagge,o7hgxd8M2UG
Al-Noury Specialist Hospital,Kano,Tertiary,Tarauni,v5amiydkXFR
Dawakin Kudu General Hospital,Kano,Primary,Dawakin Kudu,OYIdJmk5zld
Tofa Comprehensive Health Centre,Kano,Primary,Tofa,pqhd2AjoRfc
Hadejia General Hospital,Jigawa,Tertiary,Hadejia,dGWGBrHxH5l
Mohammed Abdullahi Wase Hospital,Kano,Secondary,Nasarawa,ClB8Ry98tWe
Waziri Shehu Gidado General Hospital,Kano,Tertiary,Ungogo,tZy8wIM53xT
Primary Health Care Mariya Sanusi,Kano,Primary,Ungogo,PDVQpUxTXWh
Reemee Clinic,Bauchi,Primary,Bauchi,f6kjRzEuJzu
Rasheed Shekoni Specialist Hospital,Jigawa,Primary,Dutse,DN4mnc2LSZw
Bogoro General Hospital,Bauchi,Primary,Bogoro,Xz63xHPUIiS
Abubakar Tafawa Balewa University Teaching Hospital,Bauchi,Tertiary,Bauchi,BHkRzQsQgSl
